Engine_Size_L,Horsepower,Price_USD
4.22,178.1,42061.55
2.87,195.2,31607.78
4.14,296.3,46024.15
1.07,168.0,22863.75
1.44,383.1,45523.76
4.32,372.4,57726.63
4.19,228.7,44548.95
1.93,178.4,31499.98
3.12,246.7,37601.27
3.42,350.0,45711.21
4.47,285.4,49466.07
3.41,335.4,48954.5
2.65,245.8,40546.32
2.5,278.9,43591.11
2.7,165.1,32666.17
3.61,312.5,50653.69
4.47,136.8,36529.31
2.82,299.3,46115.22
1.99,354.0,45071.43
1.95,113.6,24587.7
3.98,272.7,46983.22
4.27,101.4,34107.63
1.42,309.5,39843.29
1.27,97.9,22544.19
3.38,378.9,53254.89
1.58,115.3,23633.59
4.3,386.4,59897.84
2.24,334.3,40948.29
1.58,265.9,34205.38
4.68,328.3,50232.06
1.66,332.4,37898.31
2.14,382.2,48187.42
1.61,153.6,29349.66
1.46,264.7,36229.9
1.08,101.4,21413.51
1.22,273.3,39598.7
1.7,126.5,28651.55
1.21,256.4,35153.54
3.36,258.9,46461.16
3.72,223.8,41400.08
2.57,242.5,36739.49
2.27,322.1,43454.4
3.02,333.8,44899.59
4.5,232.4,42446.69
4.4,267.9,46628.73
1.17,377.3,48075.33
1.73,109.5,28198.99
1.95,108.6,21136.95
2.0,98.9,24878.45
3.28,287.1,42734.44
2.67,208.1,37247.08
1.2,325.5,41159.19
2.49,291.5,38388.91
3.1,180.1,37362.33
1.41,366.5,44392.39
4.33,321.6,50780.87
1.21,159.3,23887.97
4.7,190.2,39928.58
1.4,173.8,29596.18
4.37,122.0,33818.0
4.61,118.8,35647.97
4.92,378.9,60221.78
4.21,214.5,45335.77
4.12,196.5,39240.32
3.57,310.8,44774.29
4.12,252.5,47797.9
1.54,378.9,46658.37
3.14,327.5,51266.39
3.06,228.2,40194.84
4.43,194.2,40656.04
2.85,395.6,54454.09
2.54,306.9,49386.26
3.56,383.9,60196.82
2.07,109.1,25222.75
1.56,350.7,45418.08
2.91,280.2,46101.98
2.67,110.2,25143.37
1.93,264.1,39359.92
2.47,296.4,43257.57
2.47,74.1,24079.65
