AnnualIncome_k,SpendingScore,Segment
35.7,80.0,2
72.9,81.3,1
80.9,13.0,3
69.2,69.8,1
70.4,18.2,3
64.8,76.5,1
20.2,18.0,0
79.3,21.6,3
24.3,13.0,0
72.7,27.7,3
17.1,10.1,0
23.1,23.2,0
9.3,81.6,2
85.1,22.6,3
74.4,60.2,1
22.3,17.9,0
16.6,26.1,0
90.4,32.6,3
29.2,79.2,2
22.5,25.4,0
70.8,70.9,1
75.8,69.6,1
14.9,17.1,0
84.4,20.0,3
22.4,84.7,2
17.4,25.3,0
22.7,71.4,2
80.1,66.5,1
8.4,12.7,0
62.9,70.4,1
18.1,17.6,0
24.3,22.4,0
82.2,22.9,3
24.3,65.2,2
17.4,4.7,0
80.3,20.0,3
27.3,88.3,2
81.4,16.5,3
23.4,76.3,2
70.0,76.9,1
16.1,85.6,2
24.7,73.3,2
26.8,84.9,2
20.7,14.7,0
64.0,66.2,1
23.8,13.3,0
73.1,61.3,1
18.6,20.8,0
37.1,10.4,0
90.3,21.0,3
22.9,20.8,0
83.1,18.9,3
30.2,16.8,0
87.9,15.5,3
69.6,62.5,1
23.2,90.1,2
69.5,68.6,1
62.2,68.4,1
58.9,63.6,1
21.6,89.2,2
89.7,65.9,1
30.0,81.7,2
78.9,23.0,3
70.4,70.8,1
67.1,60.2,1
9.2,24.6,0
68.1,65.8,1
20.1,25.6,0
21.3,15.4,0
88.6,31.1,3
23.5,26.8,0
78.7,77.9,1
84.3,24.2,3
83.6,12.3,3
24.9,10.5,0
14.4,29.1,0
75.9,80.4,1
18.1,71.9,2
78.3,20.7,3
20.6,27.9,0
17.5,22.5,0
63.1,73.2,1
80.0,14.8,3
18.3,18.7,0
68.1,82.4,1
19.3,18.3,0
5.3,13.7,0
78.2,15.2,3
29.7,18.8,0
79.0,70.4,1
80.3,19.4,3
20.0,92.0,2
3.8,6.0,0
66.2,70.1,1
84.8,23.3,3
67.3,77.1,1
27.2,81.3,2
26.7,81.9,2
16.1,84.9,2
20.8,20.0,0
90.3,2.8,3
70.1,11.7,3
17.5,18.2,0
69.4,13.1,3
74.0,37.2,3
32.6,77.1,2
67.5,62.0,1
56.6,69.2,1
73.0,19.4,3
8.8,14.7,0
81.0,22.6,3
82.9,10.8,3
26.0,74.4,2
74.4,69.9,1
10.4,77.8,2
22.6,24.3,0
79.0,30.7,3
77.1,68.2,1
25.3,33.5,0
93.7,11.4,3
