EmployeeID,Age,Department,YearsExperience,Salary
1,28.0,Sales,4.0,29602.51
2,50.0,Marketing,28.0,78304.84
3,48.0,Marketing,28.0,70351.39
4,35.0,HR,11.0,
5,24.0,,1.0,27288.26
6,58.0,Finance,35.0,89758.67
7,38.0,Sales,18.0,59533.68
8,55.0,Marketing,34.0,88580.04
9,47.0,Engineering,24.0,67153.82
10,51.0,Sales,27.0,72212.94
11,50.0,HR,,
12,29.0,Finance,5.0,33426.09
13,35.0,Marketing,11.0,40972.94
14,,Marketing,18.0,54000.14
15,40.0,Marketing,16.0,51041.64
16,23.0,Marketing,2.0,30091.48
17,42.0,HR,21.0,63227.28
18,27.0,Sales,4.0,34271.46
19,50.0,,27.0,72318.24
20,,HR,27.0,74075.62
21,57.0,HR,33.0,86276.77
22,50.0,Engineering,30.0,78071.96
23,35.0,Sales,11.0,46170.33
24,58.0,Finance,38.0,91414.22
25,37.0,Marketing,14.0,49110.84
26,34.0,Marketing,11.0,43654.79
27,56.0,HR,33.0,80812.48
28,,Finance,13.0,49860.92
29,24.0,HR,2.0,
30,39.0,HR,16.0,53837.48
31,52.0,HR,,82242.24
32,29.0,Engineering,6.0,37139.59
33,39.0,Sales,17.0,57596.16
34,26.0,HR,4.0,31904.54
35,,,26.0,70530.11
36,40.0,Sales,,57160.85
37,34.0,Finance,14.0,45138.0
38,30.0,Finance,10.0,38658.66
39,43.0,Engineering,22.0,60631.9
40,47.0,Marketing,,70608.26
