FloorArea_sqft,Price
1570.8,237482.72
2527.3,336902.53
1118.7,195396.37
3498.1,458403.41
3154.8,397938.06
3018.1,380226.0
2012.3,295793.77
2695.6,412946.99
2544.3,359320.94
2774.5,379969.61
795.6,152612.27
1955.3,317289.15
645.6,132962.52
2229.0,307202.96
1654.5,276198.93
1005.8,181419.07
861.9,191823.15
2556.8,361391.58
1097.1,151037.32
3737.9,464346.47
2533.7,395318.88
1714.0,298776.96
2568.2,353696.53
579.8,109997.94
3855.0,549130.98
2188.1,284891.3
3239.6,416380.62
789.6,160829.77
2203.3,304531.37
2217.5,315968.89
3782.4,499801.04
2501.0,358565.15
2157.2,344052.59
1434.4,224394.4
1660.5,265357.45
2322.4,277428.11
2036.2,293124.85
575.6,97996.32
3392.0,426572.28
3636.6,464433.71
990.9,160551.53
2439.1,365592.74
880.0,122441.99
2852.8,393106.63
1484.3,216013.95
2808.0,378765.68
3044.5,440406.68
3190.3,446284.83
877.1,188686.15
3706.0,490862.33
1305.7,189291.31
630.9,120116.8
2442.0,349100.46
1798.2,270201.69
3404.3,431401.99
3328.9,451727.86
1610.0,248904.04
3835.1,573154.6
1518.2,279106.61
2302.7,304992.91
