Income,LoanAmount,CreditScore,Dependents,Approved
12000.15,494290.68,337,1,0
11535.06,117769.23,720,1,1
2417.94,89781.03,703,3,0
9409.78,353387.84,764,3,1
4005.68,202881.18,563,3,0
14233.99,82060.01,792,0,1
4175.74,263887.53,393,3,0
10146.31,389196.81,538,0,0
6241.1,178305.08,367,2,0
10340.3,200771.09,721,3,1
7359.36,430564.73,692,2,0
11875.36,284032.36,743,3,1
4998.83,429229.39,720,1,0
13775.29,250875.27,469,1,1
8502.73,478838.82,337,1,0
11829.21,342857.57,811,1,1
13046.49,102154.49,571,2,1
14984.77,448291.84,351,1,1
4911.29,270169.34,809,2,0
5729.6,113737.54,846,1,1
5255.63,118710.56,545,1,0
5417.33,359390.27,723,0,0
9571.78,71317.63,319,2,1
14915.79,178967.19,351,3,1
14873.62,112904.42,452,3,1
8848.05,248484.84,660,1,1
10307.35,236459.2,373,1,1
13179.62,284844.4,318,2,1
14128.13,175836.35,667,2,1
4650.19,64419.62,723,0,1
8871.04,326473.75,706,2,0
12826.88,218173.1,739,0,1
5941.63,343100.75,741,0,0
7717.52,98900.14,631,2,1
14813.07,56199.81,585,0,1
14805.61,161732.41,771,1,1
13779.39,255446.3,491,2,1
12379.83,227332.39,353,2,1
5498.7,414636.15,713,1,0
6171.05,220026.94,451,0,0
9114.68,288698.53,838,3,1
9290.11,317082.02,527,3,0
8571.54,59824.13,768,3,1
10276.71,281810.02,323,2,0
7308.2,205174.07,662,1,1
11739.26,239576.06,546,3,1
6336.15,95129.33,554,1,1
6298.8,402269.25,445,0,0
3653.94,474081.91,834,3,0
4453.26,60020.97,516,1,0
13056.77,320617.74,767,3,1
7801.67,393729.83,533,1,0
4962.28,178163.41,326,3,0
11871.43,404400.01,783,2,1
9201.75,334559.77,401,1,0
2275.03,468123.18,448,1,0
6112.7,491452.17,773,3,0
4301.02,69055.75,791,0,1
10526.35,250221.99,804,1,1
5575.4,296144.5,534,1,0
2844.31,116034.45,716,2,0
2714.15,201328.62,480,1,0
9562.45,494441.35,707,2,0
2282.4,57303.71,576,1,0
13034.3,253628.57,328,0,1
4020.16,429194.58,529,0,0
9885.36,195755.57,557,2,1
7780.94,265909.33,441,1,0
7757.07,490120.59,505,1,0
2933.36,263694.58,576,2,0
12435.78,108914.59,327,1,1
13609.68,73274.67,383,1,1
2143.22,475437.46,721,0,0
4321.85,169614.24,493,1,0
13750.75,276828.76,634,2,1
9143.42,90815.79,611,2,1
3950.51,240644.8,603,3,0
4636.28,468547.48,527,3,0
10579.82,276085.85,565,0,1
11422.62,487010.82,753,1,1
9792.55,166476.04,830,1,1
14390.93,277045.36,441,2,1
8422.83,436788.86,668,1,0
5903.53,251713.56,833,3,0
8204.03,175769.32,304,1,0
6675.66,434963.91,731,2,0
4917.41,225450.26,573,0,0
2597.52,288825.48,832,3,0
6578.76,489437.18,618,3,0
11248.32,133917.48,760,3,1
2239.69,185630.29,391,1,0
7709.32,63981.32,378,0,1
10372.12,226326.97,809,2,1
9935.25,140082.54,589,1,1
12096.43,356015.72,607,3,1
12536.76,131594.66,393,2,1
11252.18,353665.74,424,2,0
3336.37,168563.94,750,3,0
8175.29,209848.03,466,3,0
9844.28,206987.29,621,1,1
5192.36,372538.29,474,0,0
2553.17,259929.17,444,0,0
4906.67,212584.5,391,1,0
7913.63,433680.22,811,2,0
7381.09,307377.78,817,0,1
4296.67,146223.87,363,0,0
12717.4,455041.08,494,2,0
14033.93,204192.63,610,3,1
4617.53,67540.72,510,0,0
14084.45,272570.1,696,2,1
2232.19,105772.12,443,0,0
14024.51,157309.9,332,2,1
14375.07,386199.89,485,3,1
2156.67,108838.32,628,3,0
11919.25,413124.9,399,2,0
14612.62,471608.28,748,2,1
13776.73,322939.45,306,3,1
14619.23,369661.64,337,2,1
9154.21,371113.97,579,1,0
3016.03,496763.58,581,3,0
13047.26,203692.22,462,2,1
9979.77,123285.45,442,3,1
9991.58,283625.26,338,2,0
7424.3,289962.41,664,3,0
9433.95,130060.62,508,0,1
3996.54,325899.24,365,0,0
11617.01,56356.13,519,0,1
2975.22,467450.78,815,2,0
11487.15,169058.43,443,2,1
13036.72,67802.09,792,0,1
8142.09,98712.25,442,0,1
8627.79,158112.03,402,3,0
6058.79,173257.78,443,3,0
14602.96,64764.5,477,2,1
11530.62,175709.67,366,1,1
6796.85,136823.78,623,1,1
4272.5,220379.42,483,0,0
4854.53,223325.48,694,0,0
8030.99,202553.48,570,3,0
14253.39,197565.75,543,1,1
11543.9,90379.07,559,2,1
4798.17,61342.23,385,2,0
13174.29,140951.44,692,1,1
6916.61,390492.24,357,0,0
13072.39,495864.39,696,2,1
5142.09,467836.78,849,0,0
10042.59,276898.71,720,1,1
14046.72,289320.74,550,3,1
5352.62,191561.71,472,2,0
11008.05,398272.75,779,3,1
