X1,X2,Label
-0.4791,0.6206,0
1.0057,0.6953,0
0.93,0.3756,0
0.6267,0.7473,0
0.2015,0.9462,0
0.7918,0.4559,0
0.9952,0.4413,0
-0.827,0.4239,0
0.5964,0.7947,0
0.6912,0.7177,0
1.1363,0.3369,0
0.331,1.1688,0
0.7929,0.8558,0
-0.3368,0.9143,0
0.7738,0.6483,0
-0.771,0.3653,0
-1.0851,0.3181,0
1.0618,0.3871,0
1.0331,0.2985,0
0.8236,0.2503,0
-0.5631,0.9587,0
0.9175,0.3211,0
-1.2491,0.2976,0
-0.582,0.6178,0
-0.8007,0.3695,0
0.0909,0.9794,0
-0.9651,0.2895,0
1.1724,0.1015,0
0.234,0.9132,0
0.5865,0.8383,0
-1.0344,0.3367,0
-0.2528,1.2469,0
-0.8094,0.7862,0
0.9031,0.6255,0
-1.0847,-0.0354,0
0.0594,1.1186,0
0.0247,0.8454,0
-1.1591,-0.0799,0
0.1539,0.9438,0
0.4514,0.947,0
-0.5344,0.9419,0
0.9006,0.643,0
0.3581,0.7993,0
1.0261,0.6244,0
1.0154,0.3326,0
-0.8733,0.5015,0
-0.3741,1.0662,0
0.2648,0.9424,0
0.3045,0.8852,0
0.2108,0.9022,0
-0.5348,0.8713,0
-1.1061,0.2668,0
-1.1158,0.2951,0
0.1925,0.8745,0
0.4361,1.0186,0
0.1928,0.9628,0
-0.152,0.7244,0
0.1145,1.2325,0
-0.4624,0.8863,0
-0.1043,1.0929,0
0.2942,0.6437,0
0.4911,0.7991,0
0.5297,0.8903,0
0.724,0.1408,0
0.537,0.4703,0
-0.6675,0.7133,0
0.4709,1.0837,0
0.7609,0.3679,0
-0.1215,1.0473,0
-0.6822,0.8125,0
0.5506,0.9645,0
-0.9707,0.6076,0
-1.1767,0.1142,0
-0.1193,0.9222,0
-0.4054,0.8909,0
0.9738,0.3281,0
-1.0138,-0.0434,0
0.235,1.0096,0
-0.9241,0.0488,0
-0.3325,0.8996,0
0.956,-0.1506,0
0.9173,0.0334,0
-0.4444,0.9407,0
-0.2131,0.9336,0
1.0133,-0.0147,0
-0.8301,0.6087,0
-0.9702,0.3084,0
0.0307,1.0875,0
-0.0831,0.9972,0
0.9735,0.0582,0
-0.7852,0.4468,0
0.3556,0.8654,0
-0.8049,0.106,0
0.4298,1.0643,0
-0.2214,1.0452,0
0.5761,0.7365,0
0.6809,0.2021,0
-0.6471,0.5315,0
-0.044,0.8336,0
-0.2836,0.9726,0
1.9066,0.4369,1
2.0478,0.4243,1
1.9275,0.2512,1
0.0406,-0.0624,1
1.4278,-0.3047,1
1.757,0.089,1
0.7787,-0.3623,1
0.0735,0.1616,1
1.7827,-0.025,1
0.9125,-0.5035,1
1.2104,-0.561,1
2.0623,0.7936,1
1.1172,-0.4049,1
0.6753,-0.4031,1
0.6084,-0.3263,1
0.8851,-0.4436,1
0.2042,-0.1448,1
1.9901,-0.056,1
2.0022,-0.1344,1
0.2736,-0.2617,1
0.4199,-0.282,1
2.0532,-0.0964,1
0.1197,0.4258,1
1.0398,-0.6745,1
0.9465,-0.7832,1
1.6402,-0.5059,1
0.1353,-0.0054,1
1.6449,-0.3848,1
0.5391,-0.4867,1
1.5171,-0.3669,1
-0.0384,0.346,1
0.692,-0.4462,1
0.8587,-0.4073,1
0.2337,0.1628,1
-0.0373,0.063,1
0.386,0.0849,1
0.4461,-0.3556,1
0.0461,0.2344,1
1.9025,0.3245,1
0.5142,-0.4396,1
1.8793,-0.092,1
1.803,0.5383,1
0.0757,0.162,1
1.425,-0.5687,1
1.7965,0.0424,1
1.5567,-0.4891,1
0.8557,-0.5398,1
0.8149,-0.4936,1
0.1111,0.3233,1
0.9198,-0.6599,1
1.936,0.3298,1
2.0408,0.3147,1
0.293,0.1649,1
1.6269,-0.4335,1
0.3575,-0.2953,1
1.6749,0.2283,1
0.2384,0.3043,1
2.011,0.4229,1
1.8528,-0.0584,1
-0.2057,0.2161,1
0.004,0.1916,1
1.8834,-0.0663,1
0.0539,0.1027,1
0.9488,-0.3683,1
1.7974,0.1589,1
1.4411,-0.3424,1
0.6944,-0.5612,1
0.7646,-0.4763,1
0.0241,0.2921,1
1.9915,0.3763,1
0.2666,-0.3902,1
0.2816,-0.2246,1
0.3546,-0.3809,1
2.0071,0.3417,1
0.2208,0.2689,1
1.7569,0.1756,1
1.5146,-0.3635,1
1.8984,-0.068,1
2.1043,0.3314,1
1.8053,-0.0546,1
1.9163,0.455,1
0.1539,0.3169,1
2.0733,-0.2221,1
1.1515,-0.6309,1
1.0429,-0.5663,1
1.8231,0.0615,1
1.9788,0.2655,1
1.7011,-0.4101,1
1.2836,-0.5527,1
0.8721,-0.6461,1
0.8552,-0.3026,1
0.6144,-0.5686,1
0.691,-0.577,1
0.215,0.3189,1
0.0409,-0.0332,1
1.6522,-0.0552,1
0.9769,-0.3526,1
1.7853,0.3201,1
1.4672,-0.6375,1
0.0052,0.4226,1
